Propozitie,Total Cuvinte,Strict RU (Code-switch),OOV (Necunoscute),Lista RU,Lista OOV
Зараз ми живемо у сучасній легенді про Вавілонську вежу.,9,0,1,,Вавілонську
"Ва ізбєжанія громкіх риданій і пріступав депресії, рєкамєндуєца нє захадіть нєфєстівальщікам в Твиттор в ближайшие 5 днєй.",16,1,11,ближайшие,"Ва, ізбєжанія, громкіх, риданій, пріступав, рєкамєндуєца, нє, захадіть, нєфєстівальщікам, Твиттор, днєй"
"Вона ідеально підходить до концепту мого мікроблогу - ""шо віжу, о том пою"" тві-бешкетник ага :)",13,1,1,шо,віжу
і я вже люблю твоїх дєдушок :),6,0,1,,дєдушок
"Вилізло з якихось глибин підсвідомого, як колишній муж бичив за те, що я постійно зайнята.",15,0,1,,бичив
Талалай сьогодні тіп #хазяюшка  Роблю печену картопельку :з  #омномном,9,0,2,,"хазяюшка, омномном"
"Оригінальна ідея, люблю коли на столику під склом щось цікаве є порозглядати",12,0,1,,порозглядати
"Кум Путіна Медведчук у нас володіє 5% акцій ""Нафтогазвидобування"".",8,0,1,,Нафтогазвидобування
"Люди, які роблять скріни твітів, кидають їх потім комусь іншому аби пообговорювати - на здоров‘я.",15,0,3,,"скріни, твітів, пообговорювати"
На бєбущку Йулю вся надія.,5,0,2,,"бєбущку, Йулю"
вже тиждень не можу змусити себе дописати в бложик пост про Рим. лінива срака,14,1,0,бложик,
"Хріново, коли ти задихаєшся уві сні, а прокинувшись лице горить, люблю алергію, чьо.",13,0,2,,"Хріново, чьо"
І піти вибачитись та цяю папіть.,6,0,2,,"цяю, папіть"
"Та я то знаю) То для підстраховки, бо судячи з моїх приблизних результатів держ.місця в універі мені не бачити)",18,0,2,,"підстраховки, універі"
Анонсували HTC One Nexus experience і в мене зʼявилася невелика сверблячка :),7,0,1,,зʼявилася
"Називала пацана Нікіта, бо мені не подобалось його справжнє ім‘я.",11,0,1,,ім
"Далі – пошукайте про Боярчука яку небуть інфу (це директор цієї шарашки, що робила оналєз) особливо пошукайте біографію.",17,1,3,шарашки,"небуть, інфу, оналєз"
"буду лінк на цей твій твіт тулити до всіх своїх, бо маю тупо таку саму проблему)))",16,0,2,,"лінк, твіт"
"Зайшла до магазину, тільки щоб зашазамити пісню.",7,0,1,,зашазамити
мій улюблений фотограф  #FF Коли будуть ще фотки з івента?)),9,1,1,фотки,івента
"Мені Миколай принесе пєндаль - ібо доросла кобила вже, іди сама на подарунок заробляй.",13,0,2,,"пєндаль, ібо"
"Враховуючи, що ПЕРШИМИ озвучувати розмову Трампа з Вовай кинулись рузняві змі – тра чекати офіційних коментарів WH.",15,0,3,,"Вовай, рузняві, тра"
"Просто сижу під гуртожитком і ридаю, не має сил навіть тупо зайти всередину",13,1,0,сижу,
"Нє, кншн) я ж тебе знаю!",6,0,2,,"Нє, кншн"
Шо ви мені свої довгі твіти в обличчя пхаєте?,9,1,1,Шо,твіти
"#раптово - м’яса мені! стейк би зараз з’їсти, середньої прожарки, з помідорами і келишком червоного грузинського сухого... мням",19,1,1,яса,мням
"Треба заборонити у дев'ятнадцять ставати блогеринями, які вчать інших, як жити.",10,0,1,,блогеринями
Кожен клаптичок землі так дбайливо і з любов*ю оброблений.,10,0,1,,ю
"Бо Колокол задовбав, але з ua-ix з’їжджати поки не хочеться.",10,1,1,Колокол,їжджати
"- Ти лісьонак, який м'явкає і каже що він зайчик?",8,0,1,,лісьонак
"Інколи ловлю себе на думці, що дивлюся деякі відео на ютубі лише заради срачів у коментарях під ними.",18,0,2,,"ютубі, срачів"
"блін. тобто якщо ця буде довша за польську, то треба буде скасовувати польську у консуляті?",15,0,1,,блін
"Той момент, коли мої фотки опублікували в групі про Ригу.",10,1,0,фотки,
"Серед середньовічних покарань одним із найбільш принизливих було побиття дохлим собакою (с)   мабуть, найвнезапніша цитата евер",16,0,2,,"найвнезапніша, евер"
Зараз би убер селект підібрав мені роздовбаний Опель на бляхах,10,0,3,,"убер, селект, Опель"
ой влюбляюся в Бахрому...як колись у Фіолет)),8,0,1,,влюбляюся
"Ніфіга не шарю, але все одно дивлюсь, ага.",8,0,1,,Ніфіга
"Він: витирає козявку з носа об штани, зітхає.",8,1,0,козявку,
"а я все ніяк не наважусь) але казала Стоуну, шо дівки його люблять.",13,1,0,шо,
"Залипаю на ""супермодель по-українськи"" і на пабліки з гарними худими дівчатками, щоб відчути всю свою ущєрбність",15,0,2,,"пабліки, ущєрбність"
"Зара всередині нас рухається кров, стискається і розтискається серце, відбувається безперервна активність мозку...",13,1,0,Зара,
Не для широкої публіки я твітер вела!,7,0,1,,твітер
а це вже цікаво) У мене дурна слава серед птась?),10,0,1,,птась
"ого, оф.пабліки Brutto взяли собі мій відос. приємно) звісно, було б ще приємніше, якби просто авторство не забували)",16,0,1,,відос
"Ахххаахахаха Ні, ні все Ахххаахахаха, т.е. мяу",6,1,2,мяу,"Ахххаахахаха, Ахххаахахаха"
Але я рада за Ілоло)татуха вийшла афігєнна!,8,0,3,,"Ілоло, татуха, афігєнна"
"Спецом для таких - повні варіанти прислів‘я: На обиженных воду возят... для котлов, в которых обидчики кипят.",17,6,1,"обиженных, возят, котлов, которых, обидчики, кипят",прислів
"Четверта заповідь біполярниці:  Не забувай, що бувають швидкі фази.",9,0,1,,біполярниці
А рівень профі - це вже універсітетський підручник?..,7,0,1,,універсітетський
*жизнь уже не будєт прєжнєй нуіділа,6,1,3,жизнь,"будєт, прєжнєй, нуіділа"
А А А АА АА А А А А А А А А А А А А,17,2,0,"АА, АА",
"Мене трохи підхарює невідповідність з книжкою, бо кілька ключових, імхо, моментів було пропущено.",13,0,2,,"підхарює, імхо"
"секс - це розкіш для багатьох людей) Лише на свята, блін.",10,0,1,,блін
Гублюсь між Альфом і Бригадою,5,1,0,Альфом,
"Запросили на відкритий чемпіонат Києва з легкої аилетики серед ... ветеранів О_О Піду, чьо :)",12,0,2,,"аилетики, чьо"
- Ну зашибісь ...Третій кальян за тиждень!,6,0,1,,зашибісь
"Фентезі люблю, Крістен Стюарт не люблю)",6,0,1,,Крістен
"Сиджу на парі, читаю орні твітики і ледве стримую орейро, роблячи вигля, Що сміюсь з жартиків викладачки.",17,0,4,,"твітики, орейро, вигля, жартиків"
Хоч я кавери і не люблю.,6,1,0,кавери,
"Порвав останні шльопанці, благо в Гамериці дороги рівні)))))))",8,0,1,,Гамериці
"я дозволила тобі дати мені фору, такшо не розслабляйся ;) а про коллайдер я говорити можу, але не углубляясь))",18,2,1,"коллайдер, углубляясь",такшо
"Не знаю, чого хорошого можна від мене чекати, я ж та людина, яка вважає, що фоткати залаковану бляху прікольно",19,0,2,,"фоткати, прікольно"
"без гумору сьогодні улюбленець Сергійко, але приготував мені таку красу :)",10,0,1,,Сергійко
"Коли застаєш бабу без ліфчика, то вона не прикриває сіськи, ні: вона бере їх в руки і припіднімає.",18,0,2,,"сіськи, припіднімає"
"Да, бо я вже не молодію і в стриптиз-барі мені блискуча кар'єра не світить",12,1,0,Да,
"У світлі фар танки́ сніжин, як кілобайти твітів в #літвівторок",9,0,2,,"твітів, літвівторок"
"Косів,ніч,а я балдію під лайвовий Скрябін на телефоні.",10,0,1,,лайвовий
скажу чесно: великі тексти в блога оминаю зразу- картинки цікаві зберігаю- відео не дивлюся :),12,1,0,блога,
"Він приблудився і ми думали, що то кішка.",8,0,1,,приблудився
"Вкрали екстра-сардельку із сусіднього столу, познайомились з бабушкамі з Оболоні та Новосибірська #ШоУДвохСтарпьорівУВодолєчєбніце",12,0,2,,"бабушкамі, ШоУДвохСтарпьорівУВодолєчєбніце"
"@#₴&?*! я теж хочу знати, шо в мене з лицем.",9,1,0,шо,
"Смисл в тому, що даже вона не помагає, бо 24/7 в неї не пограєш, я починаю замахуватись.",16,1,0,даже,
ось цікаво а він зі штанин діставав 2 дублікат паспорту?) його співвічизники з top gear так робили,14,0,1,,співвічизники
"пишу статтю, і, блін, нє б про шось хороше, нє, блін, про судьби української демократії",15,0,6,,"блін, нє, шось, нє, блін, судьби"
"Коли Дамблдора приперли до стінки, він зробив те, що йому вдавалося найкраще.",12,0,1,,Дамблдора
"Розчісувала волосся, кинула розчіску вбік, оберетаюсь, а її там нема!",10,0,2,,"розчіску, оберетаюсь"
"- Нормальні люди в суботу сплять.	0
прекрасні ідеї для творчості з підручних матеріалів	0
Ненавиджу, коли з серіалів прибирають улюблених героїв і коли улюблені бариста йдуть з улюблених кав'ярень.	0
Банош тут добрий роблять, дарма повара одна ще.	0
Відверто веселять заклики до блокадників"" включити мізки і прорахувати наслідки.",44,0,2,,"бариста, Банош"
"Я шо, в тві реєструвалась, аби розумні думки писати?",9,1,0,шо,
"Сьогодні мені в банку сказали, щоб отримати вестерн у валюті,потрібно зообити в них страхування якесь.",16,0,1,,зообити
"Засинати, держучи сіську, афігєнно канєшно",5,0,4,,"держучи, сіську, афігєнно, канєшно"
"Все,кохані твіттерські,йдемо спати) Дякую вам за цей чудовий недільний вечір,який ми провели разом) Люблю вас) #Спокійнихснів :3 #цьом ;*",20,0,2,,"твіттерські, Спокійнихснів"
Повеселило “: вони дружать 94 роки і відповідають на питання про сучасну поп культуру. усміхнули:,13,0,1,,усміхнули
"ахаха,ти мій бро) Коли я чекала на перший концерт у мене також квиток був у рамочці) #нєнуашо #люблюОЕ #всенайкращеСлавкові",20,0,5,,"ахаха, бро, нєнуашо, люблюОЕ, всенайкращеСлавкові"
Яблука сливи виноград груші жоржини айстри каштанчики хризантеми павутинки листя листя листя,12,0,1,,каштанчики
"А зачєм, двадцять років клепали фігню, і зараз будем.",9,0,1,,зачєм
"Почуваюся LEGO, яке спочатку дбайливо склали, а потім рознесли нахрін з ноги.",11,0,1,,нахрін
"Хочеться до кінця життя блудити квартирою в полосатій сорочці на голе тіло, а дєлать дєла не хочеться(((",17,0,2,,"дєлать, дєла"
"Тому срочно нужні ідеї: що там нормальні люди, а не такі трудоголіки, як ми, ще роблять на побаченнях?",18,1,0,срочно,
"але ж може початися вчасно,якби люди пунктуальнішими були.Спізнились-ваші проблеми .",9,0,1,,пунктуальнішими
Мені сьогодні снились Ілюша і Вадімчик з моєї колишньої театральної студії.,11,0,2,,"Ілюша, Вадімчик"
"В цей час їх зазвичай презентують як ""феміністських теоретикинь"", а не як тих, хто відкрили новий погляд на методологію.",19,0,1,,теоретикинь
Я собі роблю багато скріншотів і потім переглядаю їх)) і шлю стгнали в Космос.,14,0,2,,"скріншотів, стгнали"
"Але при мені ще двіжували легендарні лічності по типу Слюсаренка і інших, і короче тоді мрак був.",17,2,2,"короче, мрак","двіжували, лічності"
"- Я прєдставіл сєбє Соню паханом духовной зони - нє паханом, а єпіскапам",11,3,4,"паханом, духовной, паханом","прєдставіл, сєбє, нє, єпіскапам"
"Аххаха да, я тож її люблю очінь",7,1,2,да,"Аххаха, очінь"
"Дайте мені дослухати мої улюблені пісні, бо я взірвусь",9,0,1,,взірвусь
а це якийсь особливий ретуал? я щось окрім співання гаудеамуса ніц не принадую надзвичайного))),14,0,3,,"ретуал, ніц, принадую"
"За Лєщєнко підете усі як один, чекаємо:*",7,0,1,,Лєщєнко
"Во ім'я ранку, кави і святого сну.",8,0,1,,ім
"Та блін,завтра останній іспит,а я ще навіть не Снідав",11,0,1,,блін
"як пояснити татові, що в мене видно шкарпетки не того, шо я лох і потороча, а то так треба?",19,1,1,шо,потороча
"Дуже точно про сучасну Росію RT "": Православие, самодержавие, упоротость.""",8,2,1,"Православие, самодержавие",упоротость
"Йдемо собі Берліном, а тут пес катається на скейті.",9,0,1,,скейті
"Сіді дома і жарь шашьлик, Свєта.",6,1,2,жарь,"шашьлик, Свєта"
І не застрахуєшся ж від халтурщиків..,6,0,1,,халтурщиків
"Любіть свої велосипедики, вони ж бо ваші другі половинки у цьому світі пішоходів:ззз",14,0,2,,"велосипедики, ззз"
"Останнім часом часто уявляю себе і своїх коліжанок в такому більш старшому віці, ближче до 40-ка.",15,0,1,,коліжанок
Бо лікарняні роблять в поліклініках і мутки,7,0,1,,мутки
"Завдяки      мої вихідні були чудовими,дякую вам,ви афігєнні:)",9,0,1,,афігєнні
"Найманця з бразилії, який за сєпарів воював.",7,0,1,,сєпарів
блукаю по чужих сторінках час від часу. ну і про ретвіти не забувайте,13,0,1,,ретвіти
"Ггг =D Якщо що,у мене зі слухом і голосом теж не дуже, і співати я дуже полюбляю =))",17,0,1,,Ггг
"ну не знаю, я завжди п'ю чай влітку. і дууууже гарячий люблю)",13,1,2,п,"ю, дууууже"
"маю новий дівайс (читалку) і немаю ні сил, ні часу з ним гратися(( просто люблю подушку.",16,0,2,,"дівайс, немаю"
"Використовується для всього: для елект. підпису, підтвердження платежів і т.д.",9,0,1,,елект
Поліцейський під стінами ростпосольства під час виконання гімну.,8,0,1,,ростпосольства
"Спочатку тімлід пригостила мандаринами, потім колега печивом і прибиральниця яблуком.",10,0,1,,тімлід
"Хоча чим молодші люди, тим усередненішою мовою говорять",8,0,1,,усередненішою
"завтра їхатиму додому від репетитора, куплю піццу, ляжу на ліжко і просто розслаблюсь :з",14,0,1,,піццу
"Чомусь моя підсвідомість для того, щоб повідомляти мені важні жизнєнні премудрощі від сні, вирішила втілюватися в колишнього коханця.",18,0,2,,"жизнєнні, премудрощі"
"О злоє нєбо, звьозди-супостати!.' я мушу встати і маршувати працювати #літвівторок",10,0,3,,"злоє, нєбо, літвівторок"
"Десь блукає по країні, але в напрямку до мене айфончику мій:-)",11,0,1,,айфончику
"реплаї засирають стрічку твоїм читачам, які можуть псіханути і відписатись.",10,0,3,,"реплаї, засирають, псіханути"
@ – бугай парвал у жєнщіньі в бєльіх трусіках плакат!,8,0,4,,"парвал, жєнщіньі, бєльіх, трусіках"
оце воно – істінає обличча британського правосудія! свободу Анжєлє Дєвіс!,9,0,5,,"істінає, обличча, правосудія, Анжєлє, Дєвіс"
Бо я не встигла зробити скріншот.,6,0,1,,скріншот
Під м’ясо господнє кров господня п’ється ніби Біблія вирощувала поколіннями натовп вампірів.,14,1,2,п,"ясо, ється"
Щяслівава & з повними торбами та діджєйкай під боком.,8,0,2,,"Щяслівава, діджєйкай"
практично всі людські проблеми від заздрощів та егоїзму. уменевсе.,9,0,1,,уменевсе
"А я афігєл від того, що Вероніка зі сцени втекла",10,0,1,,афігєл
"бачиш, а кажеш що не знаєш))каблучка-зачьот) можна  подарувати нижню білизну - це так романтік ;)",13,0,1,,романтік
"Те що Порох отримав підтримку Заходу, а рашка отримала санкції?",10,0,1,,рашка
"Цей твіт буде довершеним, коли вони додадуть туди ""тьолочок"" ящетаю.",10,0,3,,"твіт, тьолочок, ящетаю"
"RT, якщо “Одинокий мужичок за 50” улюблена пісня твого тестя",8,1,0,мужичок,
"Я не у Ларнаці, поїхала одразу Лімасол.",7,0,2,,"Ларнаці, Лімасол"
"Чим ближче форум, тим більше хочеться купити на ньому лише абабівського Гаррі Поттера і не зайобуватись.",16,0,2,,"абабівського, зайобуватись"
Твітер - це і є блог,5,0,1,,Твітер
"Бо в нас у ТЦ такі набори стоять з поміткою ""НАЙКРАЩИЙ ПОДАРУНОК"".",12,0,1,,ТЦ
"Їм це картинка, багато лайків, які напевно є їх KPI-ями",9,0,1,,лайків
"Одним словом, поки я йому розсилаю вітання в соц мережах він вже бавиться новою іграшкою.",15,0,1,,соц
"Піймала себе на думці, шо я - командний гравець.",8,1,0,шо,
P.S. За чЬто ані нас нінавідят?,5,0,2,,"чЬто, нінавідят"
Чого всі так люблять верещати в трамвайчиках?,7,1,0,трамвайчиках,
"Єдина ваніль, яку я люблю, - та, шо в каві.",9,1,0,шо,
"Подруга жаліється на те, що в неї великі сіськи :(",9,0,1,,сіськи
"Думаю, шо у тирнетиках можна буде понаблюдать",7,2,1,"шо, понаблюдать",тирнетиках
так само Кропивницької області ше нема:(,6,0,1,,ше
Погортала пдфки цьогорічних букварів - той же страх і ужас.,9,1,1,ужас,пдфки
"Помічаю, що стаю потрохи грьобаним перфекціоністом",6,0,1,,грьобаним
"Мене зараз прориває на поговорити Знаєте, шо я найбільше хочу?",10,1,0,шо,
"Пиво світле, фільтроване із доволі типовим смаком як для Лагеру.",10,1,0,Лагеру,
"Подруга про племінника: - Я не хочу, щоб він виріс недолюбленим.",10,0,1,,недолюбленим
"Тим часом у фейсбуці бачу, що мій знайомий турок комуніст полетів на канікули із Цюріха в Гавану.",17,0,1,,Цюріха
"Зачєм мені дофіга цих друзєй і знакомих, якщо нема з ким на Звери сходити?!",14,1,4,Звери,"Зачєм, дофіга, друзєй, знакомих"
"то шо, нового сезону відеблогу Коваля вже не буде",9,1,1,шо,відеблогу
Вона: а чим же ти займаєшся в інернеті до пізньої ночі?,11,0,1,,інернеті
"А потім був ніякий, навіть обісцявся.",6,0,1,,обісцявся
"Але чому, чому вони взуті в стриптизерські (!!!) босоніжки?",8,0,1,,стриптизерські
"На крок пабліже к смєрті, мої конгратулейшини.",7,1,3,к,"пабліже, смєрті, конгратулейшини"
"У моєї бабусі також були проблеми з тиском, якщо гіпертонічний кріз то без швидкої ніяк",15,0,1,,кріз
"І вам ніпавєзло, щяс будєт набор слоф",7,1,4,набор,"ніпавєзло, щяс, будєт, слоф"
"цю жінку я люблю,вона просила цю жінку я люблю,вона просила цю жінку я люблю вона просилллла!   с.ж.",18,0,1,,просилллла
Тут просто нада шото влєпіть от сєбя.,7,0,4,,"нада, шото, влєпіть, сєбя"
сьогодні на арсеналі двіж. між офігенними штуками ще одна офігенна штука.,11,0,3,,"двіж, офігенними, офігенна"
"навєрно откажусь, я шось рибу не дуже, а з глазами і так проблєми",13,2,3,"откажусь, глазами","навєрно, шось, проблєми"
"На мене довго дихали в шию перегаром і заплітаючимся язиком намагались вимовити ""мадемуазель""",13,1,1,мадемуазель,заплітаючимся
"Так класно, коли люди, яким не хочеться щось робити, змушують тебе почуватись фігово, бо ти робиш.",16,0,1,,фігово
"Правда, мінус в тому, що мене не зможуть ретвітити.",9,0,1,,ретвітити
"Але я блін рада, шо мені от підкинула гімна на лопаті, а я не стала ото мовчки ковтати.",18,1,2,шо,"блін, гімна"
"Аааа, ще вітаю всіх школярів з дзвінком, особливо випускників :3 Чемні будьте :)",11,0,1,,Аааа
Для України зараз так рілейтебл ну просто всефейсбучний срач,9,1,2,срач,"рілейтебл, всефейсбучний"
Ловіть фоточку з Ліону в день фіналу ліги Європи.,9,0,1,,фоточку
"Діма розуміє, шо проєбланив По обличчю видно #хфактор",8,1,2,шо,"проєбланив, хфактор"
"Слухати музику в торгових центрах шкідливо для здоров'я:  ""Я одену тебя, чтобы раздеть, Я раздену тебя, чтобы одеть.""",19,8,0,"одену, тебя, чтобы, раздеть, раздену, тебя, чтобы, одеть",
Це була найбезглуздіша фіча Фолаута 4),5,0,2,,"фіча, Фолаута"
"трохи поплохєло на затяжних підйомах після вчорашнього #ядонор , але все гут #невсеремося :)",12,0,3,,"поплохєло, ядонор, невсеремося"
"110-ий пост блога і 30-ий БЛОГО-КНИГИ ""Довгі коси ✑30✑""",5,1,0,блога,
#жахи RT  Навіжений реферувальник досліджень корпоративного права - шукайте у бібліотеках міста...,10,0,1,,реферувальник
"Пан  підняв тему, котра особисто мені пече вже бо зна скілько часу.",12,0,1,,зна
кароч як електрична зубна щітка тік для морди ліца,9,0,2,,"кароч, ліца"
рігліс пірмінт дабл мінт і джусі фрут?,7,0,5,,"рігліс, пірмінт, дабл, мінт, фрут"
почав писати про геконів: „У них мімімішні очі.,8,0,1,,мімімішні
"імхо, звуж ""j"" - шось середнє між нашим й і м'яким дж. Не зовсім коректно його твердо по-українськи джикати",15,0,4,,"імхо, звуж, шось, джикати"
Шоб потім на старості був час подвіжувати без дітей.,9,1,1,Шоб,подвіжувати
"а звідки я знаю, шо ти бігаєш?",7,1,0,шо,
"блін, походу мені плюсик кармічний зарахувався, коли інет підключали)",9,0,2,,"блін, інет"
"боюся що буде постити фігню типу: ""відвідав свиноферму в селі Сраколюбки, привітав доярку Параску Іванчук з рекордним надоєм"" :\",18,0,1,,Сраколюбки
"Я за звичайний светр, на 3-4 розміри більший, з голими сіськами під низом вобше.",13,0,2,,"сіськами, вобше"
"А ти свою тоді Мені ж тре' страховку, якшо шо",10,1,1,шо,якшо
Рекомендациі люччіх сабакаводов :)RT :  просто тебе легко набрати по памяті і навіть з мобла.,13,0,5,,"Рекомендациі, люччіх, сабакаводов, памяті, мобла"
Танці то пахата пахати і пахати,6,0,1,,пахата
"Сиджу цілий день у космічному кораблі ОфісГрамарлі, мерзну й почуваюся через це дуже по-дурному.",13,0,1,,ОфісГрамарлі
Я із Західної України ілі как???,6,1,0,как,
"Окей, сайт підкинув рекламу, де до мене доїбалися з питанням ""Ты употребляешь наркотики?"".",13,2,1,"Ты, употребляешь",доїбалися
"Про сексистські жарти повний тупізм, жартувати можна про все.",9,0,2,,"сексистські, тупізм"
А Мілі шо?а Мілу навіть не годують((,8,1,0,шо,
"коли мені зроблять пропозицію, я буду, як голум.",8,0,1,,голум
"Новачки твіттеру іскряться любов'ю, доброю та смайлами.",8,0,2,,"твіттеру, ю"
"На підборідді волосся грубе, ніфіга хорошого не вийде",8,0,1,,ніфіга
"Можна вдома лишитись, а не дороблювати дз :(",7,0,1,,дз
"Я знала, що мене Мурашова і на цьому світі дістане...",10,0,1,,Мурашова
"В тролейбусі бабця помацала юнака, шо сидів поруч, за коліна й пішла собі.",13,1,0,шо,
"І Майдан переміг дякуючи Сєрожі, ви що не знали?",9,0,1,,Сєрожі
"Тут дофіга хороших людей, чекаємо на Івана",7,0,1,,дофіга
"Дайте мені театральне шось, будь ласка, я те дуже люблю",10,0,1,,шось
"Або порийся в моїх фотках тут і знайди, або завтра кину, а то вже спати йду.",16,1,0,фотках,
"амінь.я ж не дарма всрала спершу всі свої заощадження на візу, а потім на бус до Берліна))",16,0,1,,всрала
Ви мені от що скажіть:  вже отримали фінансування від Юль Валадьімьіравньі Тімашонки?,12,1,2,Юль,"Валадьімьіравньі, Тімашонки"
"Яка б хєрня не коїлась у тебе на роботі,вдома ти маєш бути спокійним.",14,0,1,,хєрня
"Так класно день пройшов і загалом все чудовр, але довбаний телефон підіпсув настрій",13,0,2,,"чудовр, підіпсув"
Маю тепер улюблену польську авторку: Александра Пезда.,7,0,1,,Пезда
"Шукала блокнотик, щоб запруфпікати Оські свій карявий почерк, а знайшла картку поповнення рахунку на 100грн!",14,0,3,,"запруфпікати, Оські, карявий"
"а ще є я, мені пофіг :D",6,0,1,,пофіг
"Усе крім того сраного будинку, який збудували мені під вікнами, і тепер я нічого не бачу",16,1,0,сраного,
Блакитний відтінок то не баг а фіча :),7,1,1,баг,фіча
"Якби не дудли, багато людей і не знали б, хто така,скажімо, та ж Ада Лавлейс.",16,0,2,,"дудли, Лавлейс"
"Бугага, твіттер тролить мікроблоггєра :)))",4,0,4,,"Бугага, твіттер, тролить, мікроблоггєра"
"Перші хочуть, шоб ти відмахався, а другим пофіг навіть на то.",11,1,1,шоб,пофіг
Я так втомлююсь. що факаплю найпростіші людські взаємодії.,8,0,1,,факаплю
"ну ей, ти ж мила, і це був комплімент :с Шо я зроблю, якщо не вмію робити компліменти?",18,1,0,Шо,
"Коли він починає читати тобі вірш ""Письмо к Лиличке"" Маяковського,а ти продовжуєш фразу за фразою,то мільйон імпульсів вибухають всередині",21,1,1,к,Лиличке
вишньовий кампот і яблучний узвар. а мені Шерідансик,8,0,3,,"вишньовий, кампот, Шерідансик"
"Його люди б'ють доблєсну міліцію і беркут, поливають їх коктейлями",9,0,1,,доблєсну
"Довелося їм пояснювати, чому в СРСР для нас ""было плохо"".",10,2,0,"было, плохо",
"Золота медаль - це ота бляшанка, з якої навіть цепуру не сплавиш.",11,0,1,,цепуру
А Михасик тепер повнолітній?)) Це Михасику тепер багато всього можна?,10,0,2,,"Михасик, Михасику"
-В мене дві фотки вже в паспорті оце старість.,8,1,0,фотки,
"Кажуть вже тричі їх викликали, відтягували, а він все рівно ляга",11,0,1,,ляга
-Ну зато в тебе на ліжку завжди буде частічька Діми)9)0) #з_розмов,9,1,1,зато,частічька
"Хочу фотосет в своїй сірій футболці, що більша на декілька розмірів та чорних гетрах.",14,0,1,,фотосет
"На наступний день: «дн лише завтра, а подаруночки приходять вже».",10,0,1,,дн
"Хоча мені тут пєйсали, що ""вьі просто ніпанімаіті сарказма & йумара""",10,1,4,сарказма,"пєйсали, вьі, ніпанімаіті, йумара"
зато креслюнки в мене круті. . .ще би!,6,1,1,зато,креслюнки
"бафало як раз ціним, водка говно, пиво норм.",8,2,1,"водка, говно",бафало
"Наступним президентом має стати таксист, що катає корча на ойробляхах.",10,0,1,,ойробляхах
найближчі 10 днів дуже чекаю новин із-за океану ^^ в очікуванні бейбіка,9,0,1,,бейбіка
Я втратив відчуття весняної свіжості гг після 57 км на педалях.,10,1,0,гг,
Накупляли з Л всього пахучого і букет півоній.,8,1,1,Л,Накупляли
"Павлуцький,я розумію,що ти мій бро,але одягни труси !!",10,0,2,,"Павлуцький, бро"
#цей_момент коли твій улюблений письменник підтверджує твій запит в друзі на ФБ,11,0,1,,ФБ
"Поряд стоїть білий електросамокат, на якому він приїхав.",8,0,1,,електросамокат
"Купили шорти й футболку Ані, блюзку мені, відклали туфлі для Ані.",11,0,1,,блюзку
"Якби не #твітер я б забула, зо мені теж тре...",10,0,1,,твітер
Я буду міністром факапів Твіттеру.,5,0,2,,"факапів, Твіттеру"
"В середині тижня було морозно, але вже вчора йшов містом о 23.00 - не було вітру і,здавалось, близко 0*",17,1,0,близко,
Покличте хоч раз десь в 7 чишо,6,0,1,,чишо
